Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ,Other_Factors,Quarter_Num,Year,Quarter_Date,Total_Casualties,Casualty_Rate,Fatality_Rate,Vehicles_per_Crash,Total_Factors,SPV_Prop,DAD_Prop,PWR_Prop,FTQ_Prop,Other_Factors_Prop,Quarter_Sin,Quarter_Cos,Severe_Crash,High_Casualty,State_Encoded,State_Adamawa,State_Akwa Ibom,State_Anambra,State_Bauchi,State_Bayelsa,State_Benue,State_Borno,State_Cross River,State_Delta,State_Ebonyi,State_Edo,State_Ekiti,State_Enugu,State_FCT,State_Gombe,State_Imo,State_Jigawa,State_Kaduna,State_Kano,State_Katsina,State_Kebbi,State_Kogi,State_Kwara,State_Lagos,State_Nasarawa,State_Niger,State_Ogun,State_Ondo,State_Osun,State_Oyo,State_Plateau,State_Rivers,State_Sokoto,State_Taraba,State_Yobe,State_Zamfara,Region,Region_Encoded,Region_North East,Region_North West,Region_South East,Region_South South,Region_South West
4,32,25.94478491001976,67.19042819403776,5.538740474669053,29.78154997876868,11.010957881564604,0.0063311896887349,-0.0373750273490451,-0.415178751386657,16.726557524843365,2.010402458366276,2020.9998583595527,2,63.95222338653485,3.409109798055587,0.0851339575837747,1.1104680538882703,27.31965843258038,0.4543123698187948,0.0003768180379758,0.0002282054268092,0.0085152607061766,0.5499576775454521,0.017237584656209,-0.9800924927809608,0.9993162524541618,-0.0048396920432808,32.06225591793826,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3.964577801563751,0,0,0,True,0
6,21,36.46809806636864,84.83812404876343,24.25051178915832,29.43270554379105,25.085007624507504,0.0106528808952874,-0.0052107055311102,0.9605571761776512,5.651074305463657,2.022578349800955,2022.994184784575,10,115.67477073088192,3.3587590707402444,0.211806330212135,0.8656579129771143,30.58529981922232,0.8153890550504485,0.0001316629658862,-5.37971547373409e-05,-0.0001458087276982,0.1844413776703832,-0.0228326003187463,-1.0084528734018523,0.9990082485461796,-0.0131594908161878,21.05553818056759,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.9861666495419648,0,1,0,False,0
6,30,145.90369403589438,362.28509712043154,93.70969030359068,158.10838536732598,86.92097778385725,-0.0189439126085235,0.9671957065946344,-1.837678922394548,68.0454117599184,2.0231788742159704,2022.959605428452,10,462.89888122849146,2.7277866328863665,0.2021904315336592,1.0762770972169984,157.72220317257322,0.5525674610167376,-0.0001446383050256,0.0063183943858796,0.0016107480001842,0.4351053895279821,-0.0038889605833602,-1.0086147846009517,1.0020829320488107,0.9994351232533972,30.00045785511853,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5.018720024774743,0,0,0,False,1
8,8,27.99534860730537,45.92650110184997,16.49216127864631,0.1312310210235238,0.0856899083305561,0.0229159913649828,-0.0297754223610485,26.093414234434107,-0.6860766900601512,3.0028761279016924,2022.0105297533112,7,66.14719679291713,65.1394081712374,0.2614925632870066,-0.0028587067749249,23.78142759598325,-0.0049881149667528,-0.000163367629553,0.0005059611919075,0.996497510735596,-0.0025428797665054,-1.0011862317499731,-0.0121111772304027,1.0014749953887032,0.0014377995695145,7.761974864432677,0,0,0,0,0,0,0,1,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.057908734990178,0,0,0,True,0
9,4,51.0,159.0,16.0,57.0,36.0,0.0,0.0,0.0,21.0,3.0,2023.0,11,175.0,3.0701754385964914,0.0914285714285714,1.1176470588235294,57.0,0.631578947368421,0.0,0.0,0.0,0.3684210526315789,-1.0,-1.8369701987210292e-16,1.0,0.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,0,0,False,0
11,35,44.88878191244684,183.4148189753468,25.24176386935874,56.77986606120873,-1.427287531052531,-0.0133797824420571,0.0384780813318432,30.24485194671656,29.716043255241456,3.946110932203074,2021.04735354192,4,218.0744655980494,2.9501302773860365,0.1164843687767224,1.3092331022432635,59.04210820520674,0.0004426649819161,1.954964571895477e-05,0.0002475919684445,0.487635660755897,0.505764173451177,0.0119474497384341,0.9931768780278462,1.008937982758745,-0.0163638118439171,34.95175548522466,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.9873189185938605,1,0,0,False,0
4,21,54.68663538881312,139.65112588091918,4.277928797989834,60.23649005570182,40.13331107291838,1.0022119708842916,-0.0225554350636823,-0.7477747728544111,11.59076687643516,1.9705816273136845,2020.9757352415763,2,138.5386867115849,0.9636304542338368,0.0281304041599587,1.0349487737515166,53.02028112973902,0.744806057175881,0.0182988644831482,0.0003266990696294,-0.0112466123507899,0.2386505136121001,0.0044092894868178,-0.9699971497118598,-0.0010977923519812,0.0001896586437928,21.17752050002359,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.9924311623762123,0,1,0,False,0
3,32,15.0,32.0,4.0,21.0,17.0,0.0,0.0,0.0,4.0,1.0,2024.0,13,36.0,1.7142857142857142,0.1111111111111111,1.4,21.0,0.8095238095238095,0.0,0.0,0.0,0.1904761904761904,1.0,6.123233995736766e-17,0.0,0.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4.0,0,0,0,True,0
5,31,61.97735858819441,178.36436354900275,39.220694937969945,73.89835497572194,-0.4434678188205017,0.0041309238846352,0.962089301628957,24.598187920642104,46.59168215091015,2.0228553043426065,2021.9917893952831,6,217.9974977849527,2.0451622798977325,0.1737668693482899,1.2141381050368756,76.85217016504564,0.0018955071299996,-9.798272809710004e-05,0.0131114432601978,0.3518099636899208,0.6428252746141533,0.0053781077440007,-1.0077384186551022,1.0055742490558788,0.9965324768358296,31.15892449922257,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0210999647070807,0,0,0,False,0
7,25,212.0,535.0,33.0,265.0,0.0,0.0,0.0,126.0,139.0,3.0,2021.0,3,568.0,2.1433962264150943,0.0580985915492957,1.25,265.0,0.0,0.0,0.0,0.4754716981132075,0.5245283018867924,-1.0,-1.8369701987210292e-16,1.0,1.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,False,0
